roomId,propertyId,name,qty
249781,110051,Aristo Resort (1) -104,1
249788,110054,Aristo Resort (1) -218,1
249791,110057,Aristo Resort (1) - Studio,11
249795,110061,Aristo Resort (1) - 610,1
249800,110066,Palmyrah Surin - B207,7
249809,110075,ABSKG Studio+kitchen,7
249813,110079,Aristo Beach (2) - 423,2
249814,110080,Aristo Resort (1) - 215,1
249818,110084,ABSNM Studio w/o kitchen,3
249823,110089,Panora Garden D513,1
249824,110090,Panora Seaview E102,5
249826,110092,OS-201,1
249829,110095,OS-211,1
249833,110099,OS-510,2
249834,110100,OS-602,7
249840,110106,OS-704,1
249849,110114,Palmetto 8/12,2
249850,110115,Palmetto 8/25,1
249853,110118,Relife Windy sofa,2
249854,110119,Relife Windy City A307,2
249855,110120,Relife Windy podium,2
249857,110122,Relife Windy Saras Nest D724,1
249861,110124,NSC-307,2
249864,110127,NSC-601,6
249870,110133,Pearl-507,11
250492,110491,Relife Windy Country A508,2
261463,116117,Diamond 1202,1
305965,137099,Aristo Resort (1) -722,1
342683,154772,Saturdays,2
364379,165982,Panora Mountain G320,5
366967,167354,Title NaiYang E202,1
386044,177582,Title NaiYang A207,1
393983,181474,PS-A306,1
410170,190049,Calypso Garden 107,1
410941,190521,RBC-302,1
428692,200137,Palmyrah Seaview A602,1
428695,200140,Relife Windy Country A308,1
538037,256216,Calypso Garden 402,1
546558,260437,RawaiVIP J10,1
573511,274247,LagunaVillage TH 138/26,1
591659,283333,NSC-805,1
592834,284089,Karon Hill 113,1
592841,284096,RBC-512,1
600394,287086,Pearl-507-Pets,3
608545,291114,Title Rawai Y111,1
608887,291246,NaiYang Villa 4BR,1
610805,292253,Title Legendary A302,1
610812,292255,Title Legendary D405,2
610813,292256,Title Legendary D407,1
611019,292361,RawaiVIP M9,1
612926,293129,RawaiVIP R20,1
612929,293131,NBC2KM-P807,1
616224,294710,Botanica Modern Loft II,1
627851,300902,Karon Hill 103,1
634178,304283,Grand Kata VIP B-102,1
634240,304318,Karon Hill 607 2BR,1
634330,304341,Title Legendary H704,1
634771,304520,Laguna Beachside 1BR,1
642714,308487,PS-E403,1
642717,308490,PS-E707,1
648770,311434,777 1KM-CD412,1
648773,311435,NBC2KP-B204,1
648774,311436,Botanica Luxury 29/27,1
656897,311434,777 SKB-PC447,1
656898,311434,777 SKJ-PA306,1
676072,311434,777 SKJ-PA210,1
676073,311434,777 SKP-PB251,2
676150,325714,MBC2KP,1
676195,325747,Skypark SC1KG,1
676196,325747,Skypark SC2KC,1
676197,325747,Skypark SC2KGolf,1
676199,325749,Capri CP1K-B802,1
700396,304283,Grand Kata VIP A416 - 55m,1
700434,338742,WeKata Luxury WK1KC - 30m,1
700436,338742,WeKata Luxury WK1KC - 35m,1
700437,338742,WeKata Luxury WK1KM - 35m,1
697696,337401,Title Serenity D125,1
601653,287663,777 Maikhao P306 (exited),1
710171,256216,Calypso Garden 414,1
710182,291114,Title Rawai X306,1
711964,344656,Canvas Cherngtalay CV2KM,1
711968,344657,Title Halo NaiYang MA405,1
711979,344668,Aristo Resort 209 (AR1KG),1
